Time (s),Motor Speed (rpm)
0.0,-0.0
0.0,-0.0
0.00299990177154541,-0.0
0.005999922752380371,-0.0
0.011999964714050293,-0.0
0.011999964714050293,-0.0
0.014999985694885254,-0.0
0.017999887466430664,-0.0
0.023999929428100586,-0.0
0.023999929428100586,-0.0
0.026999950408935547,-0.0
0.029999971389770508,-0.0
0.03599989414215088,-0.0
0.03599989414215088,-0.0
0.03899991512298584,-0.0
0.0419999361038208,-0.0
0.048999905586242676,-0.0
0.050999999046325684,-0.0
0.053999900817871094,-0.0
0.059999942779541016,-0.0
0.059999942779541016,-0.0
0.06299996376037598,-0.0
0.06699991226196289,-0.0
0.07199990749359131,-0.0
0.07199990749359131,-0.0
0.07499992847442627,-0.0
0.07799994945526123,-0.0
0.08399999141693115,-0.0
0.08399999141693115,-0.0
0.08699989318847656,-0.0
0.08999991416931152,-0.0
0.09599995613098145,-0.0
0.09599995613098145,-0.0
0.0989999771118164,-0.0
0.10199999809265137,-0.0
0.10799992084503174,-0.0
0.10799992084503174,-0.0
0.1109999418258667,-0.0
0.11399996280670166,-0.0
0.11999988555908203,-0.0
0.11999988555908203,-0.0
0.12299990653991699,-0.0
0.12599992752075195,-0.0
0.13199996948242188,-0.0
0.13199996948242188,-0.0
0.13499999046325684,-0.0
0.13799989223480225,-0.0
0.14399993419647217,-0.0
0.14399993419647217,-0.0
0.14799988269805908,-0.0
0.15099990367889404,-0.0
0.15599989891052246,-0.0
0.15599989891052246,-0.0
0.15899991989135742,-0.0
0.16199994087219238,-0.0
0.1679999828338623,-0.0
0.1679999828338623,-0.0
0.17099988460540771,-0.0
0.17399990558624268,-0.0
0.1799999475479126,-0.0
0.1799999475479126,-0.0
0.18299996852874756,-0.0
0.18599998950958252,-0.0
0.1919999122619629,-0.0
0.1919999122619629,-0.0
0.19499993324279785,-0.0
0.19899988174438477,-0.0
0.20299994945526123,-0.0
0.20399999618530273,-0.0
0.20699989795684814,-0.0
0.2099999189376831,-0.0
0.21499991416931152,-0.0
0.21599996089935303,-0.0
0.218999981880188,-0.0
0.2229999303817749,-0.0
0.22699999809265137,-0.0
0.22799992561340332,-0.0
0.23099994659423828,-0.0
0.23399996757507324,-0.0
0.2399998903274536,-0.0
0.2399998903274536,-0.0
0.24299991130828857,-0.0
0.24599993228912354,-0.0
0.2529999017715454,-0.0
0.2549999952316284,-0.0
0.25799989700317383,-0.0
