Time,ID,Bus,DataLen,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,
946702807.088000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.088000,0x000006D0,0,8,0torque:N.m,-0.3torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.091000,0x000006D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.094000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.100000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.100000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.103000,0x000006D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.106000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.112000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.112000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,239.8voltage:V,
946702807.115000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.118000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.124000,0x000006D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.124000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.127000,0x000006D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.130000,0x000006D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.137000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.139000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.6voltage:V,
946702807.142000,0x000006D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.148000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.148000,0x000006D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.151000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.155000,0x000006D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.160000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.160000,0x000006D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.163000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.166000,0x000006D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.172000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.172000,0x000006D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.175000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.178000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.184000,0x000006D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.184000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.6voltage:V,
946702807.187000,0x000006D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.190000,0x000006D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.5voltage:V,
