Time,ID,Bus,DataLen,Front_Left_Speed,Front_Right_Speed,
946702808.283000,0x65D,0,8,0RPM,0RPM,
946702808.294000,0x65D,0,8,0RPM,0RPM,
946702808.304000,0x65D,0,8,0RPM,0RPM,
946702808.317000,0x65D,0,8,0RPM,0RPM,
946702808.328000,0x65D,0,8,0RPM,0RPM,
946702808.341000,0x65D,0,8,0RPM,0RPM,
946702808.343000,0x65D,0,8,0RPM,0RPM,
946702808.353000,0x65D,0,8,0RPM,0RPM,
946702808.377000,0x65D,0,8,0RPM,0RPM,
946702808.377000,0x65D,0,8,0RPM,0RPM,
946702808.389000,0x65D,0,8,0RPM,0RPM,
946702808.402000,0x65D,0,8,0RPM,0RPM,
946702808.403000,0x65D,0,8,0RPM,0RPM,
946702808.413000,0x65D,0,8,0RPM,0RPM,
946702808.424000,0x65D,0,8,0RPM,0RPM,
946702808.437000,0x65D,0,8,0RPM,0RPM,
946702808.449000,0x65D,0,8,0RPM,0RPM,
946702808.474000,0x65D,0,8,0RPM,0RPM,
946702808.474000,0x65D,0,8,0RPM,0RPM,
946702808.485000,0x65D,0,8,0RPM,0RPM,
946702808.499000,0x65D,0,8,0RPM,0RPM,
946702808.509000,0x65D,0,8,0RPM,0RPM,
946702808.521000,0x65D,0,8,0RPM,0RPM,
946702808.523000,0x65D,0,8,0RPM,0RPM,
946702808.533000,0x65D,0,8,0RPM,0RPM,
946702808.547000,0x65D,0,8,0RPM,0RPM,
946702808.557000,0x65D,0,8,0RPM,0RPM,
946702808.570000,0x65D,0,8,0RPM,0RPM,
946702808.581000,0x65D,0,8,0RPM,0RPM,
946702808.582000,0x65D,0,8,0RPM,0RPM,
946702808.593000,0x65D,0,8,0RPM,0RPM,
946702808.617000,0x65D,0,8,0RPM,0RPM,
946702808.617000,0x65D,0,8,0RPM,0RPM,
946702808.629000,0x65D,0,8,0RPM,0RPM,
946702808.641000,0x65D,0,8,0RPM,0RPM,
946702808.643000,0x65D,0,8,0RPM,0RPM,
946702808.653000,0x65D,0,8,0RPM,0RPM,
946702808.678000,0x65D,0,8,0RPM,0RPM,
946702808.678000,0x65D,0,8,0RPM,0RPM,
946702808.689000,0x65D,0,8,0RPM,0RPM,
946702808.702000,0x65D,0,8,0RPM,0RPM,
946702808.703000,0x65D,0,8,0RPM,0RPM,
946702808.713000,0x65D,0,8,0RPM,0RPM,
946702808.725000,0x65D,0,8,0RPM,0RPM,
946702808.737000,0x65D,0,8,0RPM,0RPM,
946702808.749000,0x65D,0,8,0RPM,0RPM,
946702808.761000,0x65D,0,8,0RPM,0RPM,
946702808.763000,0x65D,0,8,0RPM,0RPM,
946702808.775000,0x65D,0,8,0RPM,0RPM,
946702808.784000,0x65D,0,8,0RPM,0RPM,
946702808.797000,0x65D,0,8,0RPM,0RPM,
946702808.821000,0x65D,0,8,0RPM,0RPM,
946702808.821000,0x65D,0,8,0RPM,0RPM,
946702808.823000,0x65D,0,8,0RPM,0RPM,
946702808.833000,0x65D,0,8,0RPM,0RPM,
946702808.845000,0x65D,0,8,0RPM,0RPM,
946702808.858000,0x65D,0,8,0RPM,0RPM,
946702808.871000,0x65D,0,8,0RPM,0RPM,
946702808.881000,0x65D,0,8,0RPM,0RPM,
946702808.882000,0x65D,0,8,0RPM,0RPM,
946702808.894000,0x65D,0,8,0RPM,0RPM,
946702808.918000,0x65D,0,8,0RPM,0RPM,
946702808.919000,0x65D,0,8,0RPM,0RPM,
946702808.930000,0x65D,0,8,0RPM,0RPM,
946702808.942000,0x65D,0,8,0RPM,0RPM,
946702808.943000,0x65D,0,8,0RPM,0RPM,
946702808.953000,0x65D,0,8,0RPM,0RPM,
946702808.967000,0x65D,0,8,0RPM,0RPM,
946702808.979000,0x65D,0,8,0RPM,0RPM,
946702808.988000,0x65D,0,8,0RPM,0RPM,
946702809.002000,0x65D,0,8,0RPM,0RPM,
946702809.003000,0x65D,0,8,0RPM,0RPM,
946702809.026000,0x65D,0,8,0RPM,0RPM,
946702809.026000,0x65D,0,8,0RPM,0RPM,
946702809.036000,0x65D,0,8,0RPM,0RPM,
946702809.049000,0x65D,0,8,0RPM,0RPM,
946702809.063000,0x65D,0,8,0RPM,0RPM,
946702809.064000,0x65D,0,8,0RPM,0RPM,
946702809.076000,0x65D,0,8,0RPM,0RPM,
946702809.086000,0x65D,0,8,0RPM,0RPM,
946702809.098000,0x65D,0,8,0RPM,0RPM,
946702809.122000,0x65D,0,8,0RPM,0RPM,
946702809.123000,0x65D,0,8,0RPM,0RPM,
946702809.124000,0x65D,0,8,0RPM,0RPM,
946702809.135000,0x65D,0,8,0RPM,0RPM,
946702809.145000,0x65D,0,8,0RPM,0RPM,
946702809.159000,0x65D,0,8,0RPM,0RPM,
946702809.170000,0x65D,0,8,0RPM,0RPM,
946702809.184000,0x65D,0,8,0RPM,0RPM,
946702809.184000,0x65D,0,8,0RPM,0RPM,
946702809.194000,0x65D,0,8,0RPM,0RPM,
946702809.205000,0x65D,0,8,0RPM,0RPM,
946702809.219000,0x65D,0,8,0RPM,0RPM,
946702809.230000,0x65D,0,8,0RPM,0RPM,
946702809.242000,0x65D,0,8,0RPM,0RPM,
946702809.244000,0x65D,0,8,0RPM,0RPM,
946702809.254000,0x65D,0,8,0RPM,0RPM,
946702809.268000,0x65D,0,8,0RPM,0RPM,
946702809.280000,0x65D,0,8,0RPM,0RPM,
946702809.290000,0x65D,0,8,0RPM,0RPM,
946702809.301000,0x65D,0,8,0RPM,0RPM,
946702809.304000,0x65D,0,8,0RPM,0RPM,
946702809.326000,0x65D,0,8,0RPM,0RPM,
946702809.326000,0x65D,0,8,0RPM,0RPM,
946702809.338000,0x65D,0,8,0RPM,0RPM,
946702809.351000,0x65D,0,8,0RPM,0RPM,
946702809.363000,0x65D,0,8,0RPM,0RPM,
946702809.363000,0x65D,0,8,0RPM,0RPM,
946702809.374000,0x65D,0,8,0RPM,0RPM,
946702809.398000,0x65D,0,8,0RPM,0RPM,
946702809.398000,0x65D,0,8,0RPM,0RPM,
946702809.411000,0x65D,0,8,0RPM,0RPM,
946702809.424000,0x65D,0,8,0RPM,0RPM,
946702809.424000,0x65D,0,8,0RPM,0RPM,
946702809.434000,0x65D,0,8,0RPM,0RPM,
946702809.445000,0x65D,0,8,0RPM,0RPM,
946702809.459000,0x65D,0,8,0RPM,0RPM,
946702809.470000,0x65D,0,8,0RPM,0RPM,
946702809.484000,0x65D,0,8,0RPM,0RPM,
946702809.484000,0x65D,0,8,0RPM,0RPM,
946702809.494000,0x65D,0,8,0RPM,0RPM,
946702809.505000,0x65D,0,8,0RPM,0RPM,
946702809.520000,0x65D,0,8,0RPM,0RPM,
946702809.531000,0x65D,0,8,0RPM,0RPM,
946702809.542000,0x65D,0,8,0RPM,0RPM,
946702809.544000,0x65D,0,8,0RPM,0RPM,
946702809.554000,0x65D,0,8,0RPM,0RPM,
946702809.578000,0x65D,0,8,0RPM,0RPM,
946702809.578000,0x65D,0,8,0RPM,0RPM,
946702809.592000,0x65D,0,8,0RPM,0RPM,
946702809.602000,0x65D,0,8,0RPM,0RPM,
946702809.604000,0x65D,0,8,0RPM,0RPM,
946702809.615000,0x65D,0,8,0RPM,0RPM,
946702809.638000,0x65D,0,8,0RPM,0RPM,
946702809.638000,0x65D,0,8,0RPM,0RPM,
946702809.650000,0x65D,0,8,0RPM,0RPM,
946702809.663000,0x65D,0,8,0RPM,0RPM,
946702809.664000,0x65D,0,8,0RPM,0RPM,
946702809.674000,0x65D,0,8,0RPM,0RPM,
946702809.688000,0x65D,0,8,0RPM,0RPM,
946702809.698000,0x65D,0,8,0RPM,0RPM,
946702809.712000,0x65D,0,8,0RPM,0RPM,
946702809.724000,0x65D,0,8,0RPM,0RPM,
946702809.724000,0x65D,0,8,0RPM,0RPM,
946702809.734000,0x65D,0,8,0RPM,0RPM,
946702809.748000,0x65D,0,8,0RPM,0RPM,
946702809.759000,0x65D,0,8,0RPM,0RPM,
946702809.770000,0x65D,0,8,0RPM,0RPM,
946702809.782000,0x65D,0,8,0RPM,0RPM,
946702809.784000,0x65D,0,8,0RPM,0RPM,
946702809.795000,0x65D,0,8,0RPM,0RPM,
946702809.806000,0x65D,0,8,0RPM,0RPM,
946702809.818000,0x65D,0,8,0RPM,0RPM,
946702809.832000,0x65D,0,8,0RPM,0RPM,
946702809.842000,0x65D,0,8,0RPM,0RPM,
946702809.844000,0x65D,0,8,0RPM,0RPM,
946702809.854000,0x65D,0,8,0RPM,0RPM,
946702809.878000,0x65D,0,8,0RPM,0RPM,
946702809.878000,0x65D,0,8,0RPM,0RPM,
946702809.892000,0x65D,0,8,0RPM,0RPM,
946702809.902000,0x65D,0,8,0RPM,0RPM,
946702809.904000,0x65D,0,8,0RPM,0RPM,
946702809.915000,0x65D,0,8,0RPM,0RPM,
946702809.939000,0x65D,0,8,0RPM,0RPM,
946702809.939000,0x65D,0,8,0RPM,0RPM,
946702809.950000,0x65D,0,8,0RPM,0RPM,
946702809.962000,0x65D,0,8,0RPM,0RPM,
946702809.964000,0x65D,0,8,0RPM,0RPM,
946702809.974000,0x65D,0,8,0RPM,0RPM,
946702809.985000,0x65D,0,8,0RPM,0RPM,
946702810.001000,0x65D,0,8,0RPM,0RPM,
946702810.011000,0x65D,0,8,0RPM,0RPM,
946702810.023000,0x65D,0,8,0RPM,0RPM,
946702810.025000,0x65D,0,8,0RPM,0RPM,
946702810.036000,0x65D,0,8,0RPM,0RPM,
946702810.047000,0x65D,0,8,0RPM,0RPM,
946702810.060000,0x65D,0,8,0RPM,0RPM,
946702810.071000,0x65D,0,8,0RPM,0RPM,
946702810.082000,0x65D,0,8,0RPM,0RPM,
946702810.085000,0x65D,0,8,0RPM,0RPM,
946702810.097000,0x65D,0,8,0RPM,0RPM,
946702810.107000,0x65D,0,8,0RPM,0RPM,
946702810.119000,0x65D,0,8,0RPM,0RPM,
946702810.132000,0x65D,0,8,0RPM,0RPM,
946702810.144000,0x65D,0,8,0RPM,0RPM,
946702810.144000,0x65D,0,8,0RPM,0RPM,
946702810.155000,0x65D,0,8,0RPM,0RPM,
946702810.169000,0x65D,0,8,0RPM,0RPM,
946702810.179000,0x65D,0,8,0RPM,0RPM,
946702810.191000,0x65D,0,8,0RPM,0RPM,
946702810.204000,0x65D,0,8,0RPM,0RPM,
946702810.204000,0x65D,0,8,0RPM,0RPM,
946702810.216000,0x65D,0,8,0RPM,0RPM,
946702810.227000,0x65D,0,8,0RPM,0RPM,
946702810.241000,0x65D,0,8,0RPM,0RPM,
946702810.251000,0x65D,0,8,0RPM,0RPM,
946702810.263000,0x65D,0,8,0RPM,0RPM,
946702810.265000,0x65D,0,8,0RPM,0RPM,
946702810.275000,0x65D,0,8,0RPM,0RPM,
946702810.287000,0x65D,0,8,0RPM,0RPM,
946702810.300000,0x65D,0,8,0RPM,0RPM,
946702810.312000,0x65D,0,8,0RPM,0RPM,
946702810.323000,0x65D,0,8,0RPM,0RPM,
946702810.325000,0x65D,0,8,0RPM,0RPM,
946702810.349000,0x65D,0,8,0RPM,0RPM,
946702810.349000,0x65D,0,8,0RPM,0RPM,
946702810.360000,0x65D,0,8,0RPM,0RPM,
946702810.370000,0x65D,0,8,0RPM,0RPM,
946702810.383000,0x65D,0,8,0RPM,0RPM,
946702810.385000,0x65D,0,8,0RPM,0RPM,
946702810.395000,0x65D,0,8,0RPM,0RPM,
946702810.420000,0x65D,0,8,0RPM,0RPM,
946702810.420000,0x65D,0,8,0RPM,0RPM,
946702810.431000,0x65D,0,8,0RPM,0RPM,
946702810.445000,0x65D,0,8,0RPM,0RPM,
946702810.455000,0x65D,0,8,0RPM,0RPM,
946702810.455000,0x65D,0,8,0RPM,0RPM,
946702810.469000,0x65D,0,8,0RPM,0RPM,
946702810.479000,0x65D,0,8,0RPM,0RPM,
946702810.491000,0x65D,0,8,0RPM,0RPM,
946702810.504000,0x65D,0,8,0RPM,0RPM,
946702810.505000,0x65D,0,8,0RPM,0RPM,
946702810.515000,0x65D,0,8,0RPM,0RPM,
946702810.527000,0x65D,0,8,0RPM,0RPM,
946702810.541000,0x65D,0,8,0RPM,0RPM,
946702810.551000,0x65D,0,8,0RPM,0RPM,
946702810.564000,0x65D,0,8,0RPM,0RPM,
946702810.565000,0x65D,0,8,0RPM,0RPM,
946702810.575000,0x65D,0,8,0RPM,0RPM,
946702810.587000,0x65D,0,8,0RPM,0RPM,
946702810.598000,0x65D,0,8,0RPM,0RPM,
946702810.613000,0x65D,0,8,0RPM,0RPM,
946702810.623000,0x65D,0,8,0RPM,0RPM,
946702810.625000,0x65D,0,8,0RPM,0RPM,
946702810.635000,0x65D,0,8,0RPM,0RPM,
946702810.660000,0x65D,0,8,0RPM,0RPM,
946702810.660000,0x65D,0,8,0RPM,0RPM,
946702810.671000,0x65D,0,8,0RPM,0RPM,
946702810.683000,0x65D,0,8,0RPM,0RPM,
946702810.685000,0x65D,0,8,0RPM,0RPM,
946702810.695000,0x65D,0,8,0RPM,0RPM,
946702810.720000,0x65D,0,8,0RPM,0RPM,
946702810.720000,0x65D,0,8,0RPM,0RPM,
946702810.731000,0x65D,0,8,0RPM,0RPM,
946702810.755000,0x65D,0,8,0RPM,0RPM,
946702810.755000,0x65D,0,8,0RPM,0RPM,
946702810.769000,0x65D,0,8,0RPM,0RPM,
946702810.779000,0x65D,0,8,0RPM,0RPM,
946702810.791000,0x65D,0,8,0RPM,0RPM,
946702810.803000,0x65D,0,8,0RPM,0RPM,
946702810.805000,0x65D,0,8,0RPM,0RPM,
946702810.826000,0x65D,0,8,0RPM,0RPM,
946702810.839000,0x65D,0,8,0RPM,0RPM,
946702810.852000,0x65D,0,8,0RPM,0RPM,
946702810.864000,0x65D,0,8,0RPM,0RPM,
946702810.865000,0x65D,0,8,0RPM,0RPM,
946702810.875000,0x65D,0,8,0RPM,0RPM,
946702810.889000,0x65D,0,8,0RPM,0RPM,
946702810.900000,0x65D,0,8,0RPM,0RPM,
946702810.913000,0x65D,0,8,0RPM,0RPM,
946702810.924000,0x65D,0,8,0RPM,0RPM,
946702810.925000,0x65D,0,8,0RPM,0RPM,
946702810.935000,0x65D,0,8,0RPM,0RPM,
946702810.961000,0x65D,0,8,0RPM,0RPM,
946702810.961000,0x65D,0,8,0RPM,0RPM,
946702810.971000,0x65D,0,8,0RPM,0RPM,
946702810.983000,0x65D,0,8,0RPM,0RPM,
946702810.985000,0x65D,0,8,0RPM,0RPM,
946702810.995000,0x65D,0,8,0RPM,0RPM,
946702811.008000,0x65D,0,8,0RPM,0RPM,
946702811.021000,0x65D,0,8,0RPM,0RPM,
946702811.032000,0x65D,0,8,0RPM,0RPM,
946702811.044000,0x65D,0,8,0RPM,0RPM,
946702811.046000,0x65D,0,8,0RPM,0RPM,
946702811.058000,0x65D,0,8,0RPM,0RPM,
946702811.070000,0x65D,0,8,0RPM,0RPM,
946702811.080000,0x65D,0,8,0RPM,0RPM,
946702811.092000,0x65D,0,8,0RPM,0RPM,
946702811.104000,0x65D,0,8,0RPM,0RPM,
946702811.106000,0x65D,0,8,0RPM,0RPM,
946702811.140000,0x65D,0,8,0RPM,0RPM,
946702811.140000,0x65D,0,8,0RPM,0RPM,
946702811.154000,0x65D,0,8,0RPM,0RPM,
946702811.165000,0x65D,0,8,0RPM,0RPM,
946702811.166000,0x65D,0,8,0RPM,0RPM,
946702811.176000,0x65D,0,8,0RPM,0RPM,
946702811.188000,0x65D,0,8,0RPM,0RPM,
946702811.200000,0x65D,0,8,0RPM,0RPM,
946702811.213000,0x65D,0,8,0RPM,0RPM,
946702811.226000,0x65D,0,8,0RPM,0RPM,
946702811.226000,0x65D,0,8,0RPM,0RPM,
946702811.236000,0x65D,0,8,0RPM,0RPM,
946702811.248000,0x65D,0,8,0RPM,0RPM,
946702811.262000,0x65D,0,8,0RPM,0RPM,
946702811.272000,0x65D,0,8,0RPM,0RPM,
946702811.283000,0x65D,0,8,0RPM,0RPM,
946702811.286000,0x65D,0,8,0RPM,0RPM,
946702811.296000,0x65D,0,8,0RPM,0RPM,
946702811.308000,0x65D,0,8,0RPM,0RPM,
946702811.322000,0x65D,0,8,0RPM,0RPM,
946702811.331000,0x65D,0,8,0RPM,0RPM,
946702811.345000,0x65D,0,8,0RPM,0RPM,
946702811.346000,0x65D,0,8,0RPM,0RPM,
946702811.358000,0x65D,0,8,0RPM,0RPM,
946702811.370000,0x65D,0,8,0RPM,0RPM,
946702811.380000,0x65D,0,8,0RPM,0RPM,
946702811.391000,0x65D,0,8,0RPM,0RPM,
946702811.404000,0x65D,0,8,0RPM,0RPM,
946702811.406000,0x65D,0,8,0RPM,0RPM,
946702811.416000,0x65D,0,8,0RPM,0RPM,
946702811.440000,0x65D,0,8,0RPM,0RPM,
946702811.440000,0x65D,0,8,0RPM,0RPM,
946702811.452000,0x65D,0,8,0RPM,0RPM,
946702811.476000,0x65D,0,8,0RPM,0RPM,
946702811.476000,0x65D,0,8,0RPM,0RPM,
946702811.487000,0x65D,0,8,0RPM,0RPM,
946702811.500000,0x65D,0,8,0RPM,0RPM,
946702811.512000,0x65D,0,8,0RPM,0RPM,
946702811.525000,0x65D,0,8,0RPM,0RPM,
946702811.526000,0x65D,0,8,0RPM,0RPM,
946702811.537000,0x65D,0,8,0RPM,0RPM,
946702811.548000,0x65D,0,8,0RPM,0RPM,
946702811.572000,0x65D,0,8,0RPM,0RPM,
946702811.572000,0x65D,0,8,0RPM,0RPM,
946702811.583000,0x65D,0,8,0RPM,0RPM,
946702811.586000,0x65D,0,8,0RPM,0RPM,
946702811.596000,0x65D,0,8,0RPM,0RPM,
946702811.620000,0x65D,0,8,0RPM,0RPM,
946702811.621000,0x65D,0,8,0RPM,0RPM,
946702811.633000,0x65D,0,8,0RPM,0RPM,
946702811.644000,0x65D,0,8,0RPM,0RPM,
946702811.646000,0x65D,0,8,0RPM,0RPM,
946702811.656000,0x65D,0,8,0RPM,0RPM,
946702811.682000,0x65D,0,8,0RPM,0RPM,
946702811.682000,0x65D,0,8,0RPM,0RPM,
946702811.691000,0x65D,0,8,0RPM,0RPM,
946702811.704000,0x65D,0,8,0RPM,0RPM,
946702811.706000,0x65D,0,8,0RPM,0RPM,
946702811.717000,0x65D,0,8,0RPM,0RPM,
946702811.741000,0x65D,0,8,0RPM,0RPM,
946702811.741000,0x65D,0,8,0RPM,0RPM,
946702811.752000,0x65D,0,8,0RPM,0RPM,
946702811.777000,0x65D,0,8,0RPM,0RPM,
946702811.777000,0x65D,0,8,0RPM,0RPM,
946702811.788000,0x65D,0,8,0RPM,0RPM,
946702811.800000,0x65D,0,8,0RPM,0RPM,
946702811.813000,0x65D,0,8,0RPM,0RPM,
946702811.825000,0x65D,0,8,0RPM,0RPM,
946702811.826000,0x65D,0,8,0RPM,0RPM,
946702811.838000,0x65D,0,8,0RPM,0RPM,
946702811.848000,0x65D,0,8,0RPM,0RPM,
946702811.857000,0x65D,0,8,0RPM,0RPM,
946702811.872000,0x65D,0,8,0RPM,0RPM,
946702811.882000,0x65D,0,8,0RPM,0RPM,
946702811.893000,0x65D,0,8,0RPM,0RPM,
946702811.905000,0x65D,0,8,0RPM,0RPM,
946702811.906000,0x65D,0,8,0RPM,0RPM,
946702811.928000,0x65D,0,8,0RPM,0RPM,
946702811.928000,0x65D,0,8,0RPM,0RPM,
946702811.942000,0x65D,0,8,0RPM,0RPM,
946702811.954000,0x65D,0,8,0RPM,0RPM,
946702811.977000,0x65D,0,8,0RPM,0RPM,
946702811.978000,0x65D,0,8,0RPM,0RPM,
946702811.988000,0x65D,0,8,0RPM,0RPM,
946702812.002000,0x65D,0,8,0RPM,0RPM,
946702812.015000,0x65D,0,8,0RPM,0RPM,
946702812.026000,0x65D,0,8,0RPM,0RPM,
946702812.027000,0x65D,0,8,0RPM,0RPM,
946702812.048000,0x65D,0,8,0RPM,0RPM,
946702812.049000,0x65D,0,8,0RPM,0RPM,
946702812.059000,0x65D,0,8,0RPM,0RPM,
946702812.083000,0x65D,0,8,0RPM,0RPM,
946702812.083000,0x65D,0,8,0RPM,0RPM,
946702812.095000,0x65D,0,8,0RPM,0RPM,
946702812.097000,0x65D,0,8,0RPM,0RPM,
946702812.107000,0x65D,0,8,0RPM,0RPM,
946702812.132000,0x65D,0,8,0RPM,0RPM,
946702812.143000,0x65D,0,8,0RPM,0RPM,
946702812.144000,0x65D,0,8,0RPM,0RPM,
946702812.155000,0x65D,0,8,0RPM,0RPM,
946702812.157000,0x65D,0,8,0RPM,0RPM,
946702812.178000,0x65D,0,8,0RPM,0RPM,
946702812.178000,0x65D,0,8,0RPM,0RPM,
946702812.191000,0x65D,0,8,0RPM,0RPM,
946702812.203000,0x65D,0,8,0RPM,0RPM,
946702812.216000,0x65D,0,8,0RPM,0RPM,
946702812.217000,0x65D,0,8,0RPM,0RPM,
946702812.227000,0x65D,0,8,0RPM,0RPM,
946702812.241000,0x65D,0,8,0RPM,0RPM,
946702812.251000,0x65D,0,8,0RPM,0RPM,
946702812.264000,0x65D,0,8,0RPM,0RPM,
946702812.276000,0x65D,0,8,0RPM,0RPM,
946702812.277000,0x65D,0,8,0RPM,0RPM,
946702812.287000,0x65D,0,8,0RPM,0RPM,
946702812.299000,0x65D,0,8,0RPM,0RPM,
946702812.312000,0x65D,0,8,0RPM,0RPM,
946702812.323000,0x65D,0,8,0RPM,0RPM,
946702812.347000,0x65D,0,8,0RPM,0RPM,
