# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 143
# Split No.: 1
# Time: 20250130T171323
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
30T171323121;0;65d;0000000000000000
30T171323121;0;65e;0000000000000000
30T171323125;1;6e0;0000000000000000
30T171323126;1;5e0;0000000001000000
30T171323131;0;65d;0000000000000000
30T171323131;0;65e;0000000000000000
30T171323133;0;752;0000000000000000
30T171323135;1;6e0;0000000000000000
30T171323135;1;5e0;0000000001000000
30T171323143;0;65d;0000000000000000
30T171323143;0;65e;0000000000000000
30T171323145;1;6e0;0000000000000000
30T171323145;1;5e0;0000000001000000
30T171323150;0;65d;0000000000000000
30T171323150;0;65e;0000000000000000
30T171323155;0;751;0000000201000000
30T171323155;1;6e0;0000000000000000
30T171323156;1;5e0;0000000001000000
30T171323160;0;65d;0000000000000000
30T171323160;0;65e;0000000000000000
30T171323165;1;6e0;0000000000000000
30T171323165;1;5e0;0000000001000000
30T171323166;0;752;0000000000000000
30T171323170;0;65d;0000000000000000
30T171323170;0;65e;0000000000000000
30T171323175;1;6e0;0000000000000000
30T171323175;1;5e0;0000000001000000
30T171323180;0;65d;0000000000000000
30T171323180;0;65e;0000000000000000
30T171323185;1;6e0;0000000000000000
30T171323185;1;5e0;0000000001000000
30T171323190;0;65d;0000000000000000
30T171323190;0;65e;0000000000000000
30T171323195;1;6e0;0000000000000000
30T171323195;1;5e0;0000000001000000
30T171323199;0;752;0000000000000000
30T171323200;0;65d;0000000000000000
30T171323200;0;65e;0000000000000000
30T171323205;0;751;0000000201000000
30T171323205;1;6e0;0000000000000000
30T171323205;1;5e0;0000000001000000
30T171323209;0;65d;0000000000000000
30T171323210;0;65e;0000000000000000
30T171323215;1;6e0;0000000000000000
30T171323215;1;5e0;0000000001000000
30T171323219;0;65d;0000000000000000
30T171323220;0;65e;0000000000000000
30T171323225;1;6e0;0000000000000000
30T171323225;1;5e0;0000000001000000
30T171323230;0;65d;0000000000000000
30T171323230;0;65e;0000000000000000
30T171323232;0;752;0000000000000000
30T171323235;1;6e0;0000000000000000
30T171323235;1;5e0;0000000001000000
30T171323239;0;65d;0000000000000000
30T171323239;0;65e;0000000000000000
30T171323245;1;6e0;0000000000000000
30T171323245;1;5e0;0000000001000000
30T171323249;0;65d;0000000000000000
30T171323249;0;65e;0000000000000000
30T171323254;1;6e0;0000000000000000
30T171323255;1;5e0;0000000001000000
30T171323255;0;751;0000000201000000
30T171323259;0;65d;0000000000000000
30T171323259;0;65e;0000000000000000
30T171323264;0;752;0000000000000000
30T171323265;1;6e0;0000000000000000
30T171323265;1;5e0;0000000001000000
30T171323269;0;65d;0000000000000000
30T171323269;0;65e;0000000000000000
30T171323274;1;6e0;0000000000000000
30T171323275;1;5e0;0000000001000000
30T171323279;0;65d;0000000000000000
30T171323279;0;65e;0000000000000000
30T171323284;1;6e0;0000000000000000
30T171323285;1;5e0;0000000001000000
30T171323289;0;65d;0000000000000000
30T171323289;0;65e;0000000000000000
30T171323294;1;6e0;0000000000000000
30T171323295;1;5e0;0000000001000000
30T171323297;0;752;0000000000000000
30T171323299;0;65d;0000000000000000
30T171323299;0;65e;0000000000000000
30T171323304;0;751;0000000201000000
30T171323305;1;6e0;0000000000000000
30T171323305;1;5e0;0000000001000000
30T171323308;0;65d;0000000000000000
30T171323309;0;65e;0000000000000000
30T171323314;1;6e0;0000000000000000
30T171323315;1;5e0;0000000001000000
30T171323318;0;65d;0000000000000000
30T171323319;0;65e;0000000000000000
30T171323324;1;6e0;0000000000000000
30T171323325;1;5e0;0000000001000000
30T171323329;0;65d;0000000000000000
30T171323329;0;65e;0000000000000000
30T171323330;0;752;0000000000000000
30T171323334;1;6e0;0000000000000000
30T171323334;1;5e0;0000000001000000
30T171323338;0;65d;0000000000000000
30T171323339;0;65e;0000000000000000
30T171323344;1;6e0;0000000000000000
30T171323344;1;5e0;0000000001000000
30T171323348;0;65d;0000000000000000
30T171323348;0;65e;0000000000000000
30T171323354;0;751;0000000201000000
30T171323354;1;6e0;0000000000000000
30T171323355;1;5e0;0000000001000000
30T171323358;0;65d;0000000000000000
30T171323358;0;65e;0000000000000000
30T171323363;0;752;0000000000000000
30T171323364;1;6e0;0000000000000000
30T171323364;1;5e0;0000000001000000
30T171323368;0;65d;0000000000000000
30T171323368;0;65e;0000000000000000
30T171323374;1;6e0;0000000000000000
30T171323374;1;5e0;0000000001000000
30T171323378;0;65d;0000000000000000
30T171323378;0;65e;0000000000000000
30T171323384;1;6e0;0000000000000000
30T171323384;1;5e0;0000000001000000
30T171323388;0;65d;0000000000000000
30T171323388;0;65e;0000000000000000
30T171323394;1;6e0;0000000000000000
30T171323394;1;5e0;0000000001000000
30T171323396;0;752;0000000000000000
30T171323398;0;65d;0000000000000000
30T171323398;0;65e;0000000000000000
30T171323404;0;751;0000000201000000
30T171323404;1;6e0;0000000000000000
30T171323404;1;5e0;0000000001000000
30T171323407;0;65d;0000000000000000
30T171323408;0;65e;0000000000000000
30T171323414;1;6e0;0000000000000000
30T171323414;1;5e0;0000000001000000
30T171323421;0;65d;0000000000000000
30T171323421;0;65e;0000000000000000
30T171323424;1;6e0;0000000000000000
30T171323424;1;5e0;0000000001000000
30T171323427;0;65d;0000000000000000
30T171323427;0;65e;0000000000000000
30T171323429;0;752;0000000000000000
30T171323434;1;6e0;0000000000000000
30T171323434;1;5e0;0000000001000000
30T171323437;0;65d;0000000000000000
30T171323438;0;65e;0000000000000000
30T171323444;1;6e0;0000000000000000
30T171323444;1;5e0;0000000001000000
30T171323447;0;65d;0000000000000000
30T171323447;0;65e;0000000000000000
30T171323454;0;751;0000000201000000
30T171323454;1;6e0;0000000000000000
30T171323454;1;5e0;0000000001000000
30T171323457;0;65d;0000000000000000
30T171323458;0;65e;0000000000000000
30T171323461;0;752;0000000000000000
30T171323464;1;6e0;0000000000000000
30T171323464;1;5e0;0000000001000000
30T171323467;0;65d;0000000000000000
30T171323467;0;65e;0000000000000000
30T171323473;1;6e0;0000000000000000
30T171323474;1;5e0;0000000001000000
30T171323477;0;65d;0000000000000000
30T171323477;0;65e;0000000000000000
30T171323483;1;6e0;0000000000000000
30T171323484;1;5e0;0000000001000000
30T171323487;0;65d;0000000000000000
30T171323487;0;65e;0000000000000000
30T171323493;1;6e0;0000000000000000
30T171323494;1;5e0;0000000001000000
30T171323494;0;752;0000000000000000
30T171323497;0;65d;0000000000000000
30T171323497;0;65e;0000000000000000
30T171323503;0;751;0000000201000000
30T171323503;1;6e0;0000000000000000
30T171323504;1;5e0;0000000001000000
30T171323506;0;65d;0000000000000000
30T171323507;0;65e;0000000000000000
30T171323513;1;6e0;0000000000000000
30T171323514;1;5e0;0000000001000000
