# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 140
# Split No.: 1
# Time: 20250130T170538
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
30T170538130;1;5e0;0000000001000000
30T170538131;0;65d;0000000000000000
30T170538131;0;65e;0000000000000000
30T170538139;0;752;0000000000000000
30T170538140;1;6e0;0000000000000000
30T170538140;1;5e0;0000000001000000
30T170538140;0;65d;0000000000000000
30T170538141;0;65e;0000000000000000
30T170538150;0;751;0000000201000000
30T170538150;1;6e0;0000000000000000
30T170538150;1;5e0;0000000001000000
30T170538151;0;65d;0000000000000000
30T170538151;0;65e;0000000000000000
30T170538160;1;6e0;0000000000000000
30T170538160;1;5e0;0000000001000000
30T170538160;0;65d;0000000000000000
30T170538161;0;65e;0000000000000000
30T170538170;1;6e0;0000000000000000
30T170538170;1;5e0;0000000001000000
30T170538170;0;65d;0000000000000000
30T170538171;0;65e;0000000000000000
30T170538172;0;752;0000000000000000
30T170538180;1;6e0;0000000000000000
30T170538180;1;5e0;0000000001000000
30T170538180;0;65d;0000000000000000
30T170538181;0;65e;0000000000000000
30T170538190;1;6e0;0000000000000000
30T170538190;1;5e0;0000000001000000
30T170538191;0;65d;0000000000000000
30T170538191;0;65e;0000000000000000
30T170538199;0;65d;0000000000000000
30T170538200;0;65e;0000000000000000
30T170538200;0;751;0000000201000000
30T170538200;1;6e0;0000000000000000
30T170538200;1;5e0;0000000001000000
30T170538204;0;752;0000000000000000
30T170538210;1;6e0;0000000000000000
30T170538210;1;5e0;0000000001000000
30T170538210;0;65d;0000000000000000
30T170538211;0;65e;0000000000000000
30T170538219;0;65d;0000000000000000
30T170538219;1;6e0;0000000000000000
30T170538220;1;5e0;0000000001000000
30T170538220;0;65e;0000000000000000
30T170538229;0;65d;0000000000000000
30T170538229;0;65e;0000000000000000
30T170538230;1;6e0;0000000000000000
30T170538230;1;5e0;0000000001000000
30T170538237;0;752;0000000000000000
30T170538239;0;65d;0000000000000000
30T170538240;1;6e0;0000000000000000
30T170538240;1;5e0;0000000001000000
30T170538240;0;65e;0000000000000000
30T170538249;0;65d;0000000000000000
30T170538249;0;65e;0000000000000000
30T170538249;0;751;0000000201000001
30T170538250;1;6e0;0000000000000000
30T170538250;1;5e0;0000000001000000
30T170538259;0;65d;0000000000000000
30T170538259;0;65e;0000000000000000
30T170538259;1;6e0;0000000000000000
30T170538260;1;5e0;0000000001000000
30T170538269;0;65d;0000000000000000
30T170538269;0;65e;0000000000000000
30T170538269;1;6e0;0000000000000000
30T170538270;1;5e0;0000000001000000
30T170538270;0;752;0000000000000000
30T170538279;0;65d;0000000000000000
30T170538279;0;65e;0000000000000000
30T170538279;1;6e0;0000000000000000
30T170538280;1;5e0;0000000001000000
30T170538289;0;65d;0000000000000000
30T170538289;0;65e;0000000000000000
30T170538289;1;6e0;0000000000000000
30T170538290;1;5e0;0000000001000000
30T170538298;0;65d;0000000000000000
30T170538299;0;65e;0000000000000000
30T170538299;0;751;0000000201000001
30T170538299;1;6e0;0000000000000000
30T170538300;1;5e0;0000000001000000
30T170538303;0;752;0000000000000000
30T170538308;0;65d;0000000000000000
30T170538309;0;65e;0000000000000000
30T170538309;1;6e0;0000000000000000
30T170538309;1;5e0;0000000001000000
30T170538318;0;65d;0000000000000000
30T170538318;0;65e;0000000000000000
30T170538319;1;6e0;0000000000000000
30T170538319;1;5e0;0000000001000000
30T170538328;0;65d;0000000000000000
30T170538329;0;65e;0000000000000000
30T170538329;1;6e0;0000000000000000
30T170538329;1;5e0;0000000001000000
30T170538336;0;752;0000000000000000
30T170538338;0;65d;0000000000000000
30T170538338;0;65e;0000000000000000
30T170538339;1;6e0;0000000000000000
30T170538339;1;5e0;0000000001000000
30T170538348;0;65d;0000000000000000
30T170538348;0;65e;0000000000000000
30T170538349;0;751;0000000201000000
30T170538349;1;6e0;0000000000000000
30T170538349;1;5e0;0000000001000000
30T170538358;0;65d;0000000000000000
30T170538358;0;65e;0000000000000000
30T170538359;1;6e0;0000000000000000
30T170538359;1;5e0;0000000001000000
30T170538368;0;65d;0000000000000000
30T170538368;0;65e;0000000000000000
30T170538369;0;752;0000000000000000
30T170538369;1;6e0;0000000000000000
30T170538369;1;5e0;0000000001000000
30T170538378;0;65d;0000000000000000
30T170538378;0;65e;0000000000000000
30T170538379;1;6e0;0000000000000000
30T170538379;1;5e0;0000000001000000
30T170538388;0;65d;0000000000000000
30T170538388;0;65e;0000000000000000
30T170538389;1;6e0;0000000000000000
30T170538389;1;5e0;0000000001000000
30T170538398;0;65d;0000000000000000
30T170538398;0;65e;0000000000000000
30T170538399;1;6e0;0000000000000000
30T170538399;1;5e0;0000000001000000
30T170538399;0;751;0000000201000000
30T170538402;0;752;0000000000000000
30T170538407;0;65d;0000000000000000
30T170538408;0;65e;0000000000000000
30T170538409;1;6e0;0000000000000000
30T170538409;1;5e0;0000000001000000
30T170538418;0;65d;0000000000000000
30T170538418;0;65e;0000000000000000
30T170538419;1;6e0;0000000000000000
30T170538419;1;5e0;0000000001000000
30T170538428;0;65d;0000000000000000
30T170538428;0;65e;0000000000000000
30T170538429;1;6e0;0000000000000000
30T170538429;1;5e0;0000000001000000
30T170538434;0;752;0000000000000000
30T170538437;0;65d;0000000000000000
30T170538437;0;65e;0000000000000000
30T170538438;1;6e0;0000000000000000
30T170538439;1;5e0;0000000001000000
30T170538447;0;65d;0000000000000000
30T170538447;0;65e;0000000000000000
30T170538448;0;751;0000000201000000
30T170538449;1;6e0;0000000000000000
30T170538449;1;5e0;0000000001000000
30T170538457;0;65d;0000000000000000
30T170538457;0;65e;0000000000000000
30T170538458;1;6e0;0000000000000000
30T170538459;1;5e0;0000000001000000
30T170538467;0;65d;0000000000000000
30T170538467;0;65e;0000000000000000
30T170538467;0;752;0000000000000000
30T170538468;1;6e0;0000000000000000
30T170538469;1;5e0;0000000001000000
30T170538478;1;6e0;0000000000000000
30T170538479;1;5e0;0000000001000000
30T170538480;0;65d;0000000000000000
30T170538481;0;65e;0000000000000000
30T170538486;0;65d;0000000000000000
30T170538487;0;65e;0000000000000000
30T170538488;1;6e0;0000000000000000
30T170538489;1;5e0;0000000001000000
30T170538497;0;65d;0000000000000000
30T170538497;0;65e;0000000000000000
30T170538498;0;751;0000000201000000
30T170538498;1;6e0;0000000000000000
30T170538499;1;5e0;0000000001000000
30T170538500;0;752;0000000000000000
30T170538506;0;65d;0000000000000000
30T170538507;0;65e;0000000000000000
30T170538508;1;6e0;0000000000000000
30T170538508;1;5e0;0000000001000000
30T170538516;0;65d;0000000000000000
30T170538517;0;65e;0000000000000000
30T170538518;1;6e0;0000000000000000
30T170538518;1;5e0;0000000001000000
30T170538526;0;65d;0000000000000000
